Number,exchange,symbolHead,CNname,CRMName,group,Margin,TradeBarTime,TradingTime,PriceLimit1,Margin1,PriceLimit2,Margin2,PriceLimit3,Margin3,ContractSize,PriceMinMove,IfFeeJ,feeOpenJ,feeOpenS,feeCloseTodayJ,feeCloseTodayS,LastTradingDay,30minInterval
13,SHFE,NI,沪镍,镍,有色,0.09,"21:01:00-23:59:00,00:00:00-00:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:59:59,00:00:00-01:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,1,10,0,0,6,0,6,-14,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,23:00:00-23:30:00,23:30:00-23:59:59,00:00:00-00:30:00,00:30:00-01:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
14,SHFE,SN,沪锡,锡,有色,0.09,"21:01:00-23:59:00,00:00:00-00:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:59:59,00:00:00-01:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,1,10,0,0,6,0,6,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,23:00:00-23:30:00,23:30:00-23:59:59,00:00:00-00:30:00,00:30:00-01:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
15,SHFE,SS,不锈钢,不锈钢,黑色,0.08,"21:01:00-23:59:00,00:00:00-00:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:59:59,00:00:00-01:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.13,0.11,0.13,5,5,0,0,4,0,0,-33,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,23:00:00-23:30:00,23:30:00-23:59:59,00:00:00-00:30:00,00:30:00-01:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
16,SHFE,SP,纸浆,漂针浆,其他,0.08,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.13,0.11,0.13,10,2,1,0.0001,0,0,0,-14,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
17,SHFE,AO,氧化铝,氧化铝,有色,0.09,"21:01:00-23:59:00,00:00:00-00:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:59:59,00:00:00-01:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,20,1,1,0.0001,0,0.0001,0,-10,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,23:00:00-23:30:00,23:30:00-23:59:59,00:00:00-00:30:00,00:30:00-01:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
18,SHFE,BR,丁二烯橡胶,丁二烯橡胶,其他,0.12,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.1,0.15,0.13,0.17,0.15,0.17,5,5,1,0.0001,0,0.0001,0,-33,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
19,DCE,A,豆一,黄大豆1号,油脂油料,0.12,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,10,1,0,0,4,0,4,-14,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
20,DCE,B,豆二,黄大豆2号,油脂油料,0.09,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,10,1,0,0,2,0,2,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
21,DCE,C,玉米,黄玉米,稻米谷物,0.11,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,10,1,0,0,2.4,0,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
22,DCE,M,豆粕,豆粕,油脂油料,0.08,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,10,1,0,0,3,0,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
